PD;DeudaTotalSBSMicrof_M3max_rango;Documentos.Impagos_n_1_rango;MAXIMO_DIAS_ATRASO_DDIRECTASBS_M3max_rango;riesgos_al_menos_uno_de_los_solicitantes_vive_en_la_garantia__rango;ocupacion2;Grupo.Distritos;Calificación_1_rango;diasatraso_rango;riesgos_motivo_principal_del_prestamo_rango;SCORE 26;score final
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 3;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;829
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;830
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;B;888
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;C;819
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;b. Capital de trabajo;B;914
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;d. 61 a más;c. Compra de deuda;C;794
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;c. arrendamiento;grupo 2;a. Normal;c. nuevo;d. Otros motivos personales;A+;964
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;C;819
1;b. 10001 a más;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 3;a. Normal;d. 61 a más;b. Capital de trabajo;C;809
0;b. 10001 a más;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;b. Capital de trabajo;E;564
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;910
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;889
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;766
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;D;694
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A;924
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;b. Capital de trabajo;D;677
0;a. hasta 10000;b. tiene;b. mas de 15;a. NO;a. independiente;grupo 3;b. Sin Calificación/CPP;c. nuevo;d. Otros motivos personales;C;817
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;b. Capital de trabajo;D;677
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
1;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;d. 61 a más;a. Construir o remodelar;D;743
0;a. hasta 10000;b. tiene;b. mas de 15;a. NO;b. dependiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;a. Construir o remodelar;E;423
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;c. arrendamiento;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;a. Construir o remodelar;C;759
0;a. hasta 10000;b. tiene;b. mas de 15;a. NO;b. dependiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;D;680
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;D;747
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;766
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;b. dependiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;D;716
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;d. Otros motivos personales;A+;951
1;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;C;819
0;b. 10001 a más;a. no tiene;b. mas de 15;a. NO;c. arrendamiento;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;a. Construir o remodelar;E;660
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;d. 61 a más;b. Capital de trabajo;C;810
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;889
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;B;881
1;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;a. Construir o remodelar;B;878
0;b. 10001 a más;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;d. 61 a más;b. Capital de trabajo;D;706
1;a. hasta 10000;a. no tiene;b. mas de 15;b. SÍ;c. arrendamiento;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;A;921
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;839
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;854
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;D;671
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;C;810
1;a. hasta 10000;b. tiene;b. mas de 15;b. SÍ;b. dependiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;C;765
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;b. Capital de trabajo;D;677
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 3;a. Normal;d. 61 a más;b. Capital de trabajo;B;882
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A;935
1;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;b. Capital de trabajo;E;564
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;d. 61 a más;b. Capital de trabajo;B;874
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;A;923
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 3;a. Normal;c. nuevo;d. Otros motivos personales;A+;981
1;a. hasta 10000;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;D;685
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;A;933
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 1;a. Normal;c. nuevo;b. Capital de trabajo;C;776
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;E;628
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;A+;947
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;B;888
1;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 1;c. Deficiente/Dudoso/Perdida;c. nuevo;c. Compra de deuda;E;607
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;B;900
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;d. 61 a más;a. Construir o remodelar;C;790
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;b. Capital de trabajo;C;788
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;889
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;b. dependiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;881
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;D;733
1;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;c. Compra de deuda;D;718
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;c. arrendamiento;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;A+;972
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;C;819
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;C;803
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;D;694
1;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 1;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;E;650
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;b. Sin Calificación/CPP;d. 61 a más;b. Capital de trabajo;B;865
0;b. 10001 a más;a. no tiene;b. mas de 15;a. NO;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;E;575
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 1;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;818
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;b. dependiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;B;890
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
1;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;a. Construir o remodelar;C;777
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 1;c. Deficiente/Dudoso/Perdida;d. 61 a más;a. Construir o remodelar;C;778
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
1;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;b. dependiente;grupo 2;a. Normal;d. 61 a más;b. Capital de trabajo;B;865
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;d. 61 a más;b. Capital de trabajo;C;810
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;d. 61 a más;b. Capital de trabajo;B;874
0;a. hasta 10000;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;D;747
1;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;C;859
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
1;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;C;844
1;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;c. arrendamiento;grupo 2;b. Sin Calificación/CPP;d. 61 a más;b. Capital de trabajo;C;765
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;B;898
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;d. 61 a más;b. Capital de trabajo;C;796
0;b. 10001 a más;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 3;a. Normal;c. nuevo;b. Capital de trabajo;A;921
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;c. Compra de deuda;B;886
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;a. Construir o remodelar;A;933
1;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 1;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;767
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;d. 61 a más;b. Capital de trabajo;B;872
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 3;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;A;940
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;d. 61 a más;b. Capital de trabajo;B;872
1;b. 10001 a más;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 3;b. Sin Calificación/CPP;b. 1 hasta 60;c. Compra de deuda;B;910
1;a. hasta 10000;b. tiene;b. mas de 15;a. NO;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;D;749
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;d. Otros motivos personales;A+;968
1;b. 10001 a más;a. no tiene;b. mas de 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;c. Compra de deuda;C;840
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;C;857
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;c. Compra de deuda;A;916
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A;935
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;854
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 1;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;c. Compra de deuda;B;912
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;A+;974
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;c. Compra de deuda;A;935
0;a. hasta 10000;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;B;896
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A;944
0;a. hasta 10000;a. no tiene;b. mas de 15;a. NO;a. independiente;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;B;889
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;C;832
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;A+;947
1;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 1;a. Normal;c. nuevo;a. Construir o remodelar;E;613
0;b. 10001 a más;b. tiene;b. mas de 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;E;584
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;853
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;b. Capital de trabajo;B;900
1;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;853
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;768
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;a. Construir o remodelar;B;909
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;d. Otros motivos personales;B;899
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;B;906
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;b. Capital de trabajo;B;884
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 3;a. Normal;b. 1 hasta 60;c. Compra de deuda;A+;980
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;E;625
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 3;a. Normal;b. 1 hasta 60;a. Construir o remodelar;A+;965
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 3;a. Normal;b. 1 hasta 60;c. Compra de deuda;A+;989
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;c. arrendamiento;grupo 3;a. Normal;b. 1 hasta 60;a. Construir o remodelar;A+;980
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;d. Otros motivos personales;A+;951
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 1;a. Normal;c. nuevo;b. Capital de trabajo;C;860
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;b. dependiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;c. Compra de deuda;B;913
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;B;896
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;A;923
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;D;671
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 1;a. Normal;c. nuevo;a. Construir o remodelar;C;820
1;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;B;889
0;a. hasta 10000;a. no tiene;a. 0 a 15;a. NO;b. dependiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;a. Construir o remodelar;C;799
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;c. arrendamiento;grupo 3;b. Sin Calificación/CPP;b. 1 hasta 60;c. Compra de deuda;A+;971
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;a. Construir o remodelar;C;819
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;A+;949
1;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;c. Compra de deuda;C;844
0;b. 10001 a más;b. tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;D;748
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;a. Normal;b. 1 hasta 60;b. Capital de trabajo;A;938
